alpha beta gamma raa
0.1 0.4 0.5 0.3478
0.1 0.5 0.4 0.3478
0.1 0.6 0.3 0.3478
0.1 0.7 0.2 0.3478
0.1 0.8 0.1 0.3478
0.1 0.9 0.0 0.3478
0.2 0.3 0.5 0.3478
0.2 0.4 0.4 0.3478
0.2 0.5 0.3 0.3478
0.2 0.6 0.2 0.3478
0.2 0.7 0.1 0.3478
0.2 0.8 0.0 0.3478
0.3 0.3 0.4 0.3478
0.3 0.4 0.3 0.3478
0.3 0.5 0.2 0.3478
0.3 0.6 0.1 0.3478
0.3 0.7 0.0 0.3478
0.4 0.4 0.2 0.3478
0.4 0.5 0.1 0.3478
0.4 0.6 0.0 0.3478
0.5 0.5 0.0 0.3478
0.1 0.1 0.8 0.3367
0.1 0.2 0.7 0.3367
0.1 0.3 0.6 0.3367
0.2 0.2 0.6 0.3367
0.4 0.3 0.3 0.3256
0.5 0.4 0.1 0.3256
0.5 0.0 0.5 0.3200
0.6 0.0 0.4 0.3200
0.7 0.0 0.3 0.3200
0.8 0.0 0.2 0.3200
0.9 0.0 0.1 0.3200
1.0 0.0 0.0 0.3200
0.4 0.1 0.5 0.3144
0.5 0.2 0.3 0.3144
0.6 0.2 0.2 0.3144
0.7 0.2 0.1 0.3144
0.7 0.3 0.0 0.3144
0.8 0.2 0.0 0.3144
0.1 0.0 0.9 0.3089
0.2 0.0 0.8 0.3089
0.3 0.0 0.7 0.3089
0.4 0.0 0.6 0.3089
0.3 0.1 0.6 0.3033
0.3 0.2 0.5 0.3033
0.4 0.2 0.4 0.3033
0.5 0.1 0.4 0.3033
0.5 0.3 0.2 0.3033
0.6 0.1 0.3 0.3033
0.6 0.3 0.1 0.3033
0.6 0.4 0.0 0.3033
0.7 0.1 0.2 0.3033
0.8 0.1 0.1 0.3033
0.9 0.1 0.0 0.3033
0.2 0.1 0.7 0.2922
0.0 0.1 0.9 0.2511
0.0 0.2 0.8 0.2511
0.0 0.3 0.7 0.2511
0.0 0.4 0.6 0.2511
0.0 0.5 0.5 0.2511
0.0 0.6 0.4 0.2511
0.0 0.7 0.3 0.2511
0.0 0.8 0.2 0.2511
0.0 0.9 0.1 0.2511
0.0 1.0 0.0 0.2511
0.0 0.0 1.0 0.1111
